iter	Passed	Remaining
0	139	139136
1	140	70144
2	141	47042
3	142	35567
4	143	28613
5	144	23952
6	145	20625
7	146	18135
8	147	16195
9	147	14638
10	148	13368
11	149	12319
12	150	11431
13	151	10671
14	152	9998
15	153	9410
16	153	8891
17	154	8428
18	155	8013
19	155	7641
20	156	7306
21	157	7000
22	158	6719
23	158	6463
24	159	6230
25	160	6013
26	161	5812
27	161	5623
28	162	5448
29	163	5286
30	164	5133
31	165	4996
32	166	4867
33	166	4741
34	167	4621
35	168	4508
36	169	4402
37	169	4301
38	170	4206
39	171	4115
40	172	4029
41	173	3948
42	173	3871
43	174	3799
44	175	3727
45	176	3661
46	177	3595
47	178	3531
48	178	3472
49	179	3415
50	180	3361
51	181	3306
52	182	3254
53	182	3204
54	183	3156
55	184	3108
56	185	3063
57	185	3019
58	186	2976
59	187	2935
60	188	2896
61	188	2856
62	189	2819
63	190	2783
64	191	2748
65	191	2715
66	192	2681
67	193	2650
68	194	2621
69	195	2591
70	195	2561
71	196	2533
72	197	2505
73	198	2478
74	198	2452
75	199	2426
76	200	2400
77	201	2376
78	201	2352
79	202	2329
80	203	2306
81	204	2283
82	204	2258
83	205	2240
84	206	2226
85	207	2206
86	208	2189
87	209	2173
88	210	2154
89	211	2135
90	211	2116
91	212	2097
92	213	2080
93	214	2062
94	214	2045
95	215	2028
96	216	2011
97	216	1995
98	217	1981
99	218	1966
100	219	1950
101	219	1935
102	220	1920
103	221	1905
104	222	1892
105	222	1880
106	224	1870
107	224	1857
108	225	1844
109	226	1831
110	227	1819
111	227	1807
112	228	1794
113	229	1782
114	230	1770
115	230	1758
116	231	1747
117	232	1736
118	233	1725
119	233	1714
120	234	1704
121	235	1693
122	236	1683
123	236	1673
124	237	1663
125	238	1656
126	239	1647
127	240	1638
128	241	1629
129	242	1621
130	243	1612
131	243	1602
132	244	1593
133	245	1587
134	246	1578
135	247	1569
136	247	1561
137	248	1552
138	249	1544
139	250	1535
140	250	1527
141	251	1518
142	252	1510
143	252	1503
144	253	1497
145	254	1490
146	255	1482
147	256	1475
148	257	1468
149	257	1461
150	258	1455
151	260	1450
152	260	1444
153	261	1438
154	262	1432
155	263	1425
156	264	1419
157	265	1413
158	266	1407
159	267	1402
160	267	1396
161	268	1391
162	269	1385
163	270	1380
164	271	1374
165	272	1368
166	273	1363
167	274	1358
168	275	1352
169	275	1347
170	276	1341
171	277	1336
172	278	1331
173	279	1325
174	280	1320
175	280	1315
176	281	1310
177	282	1306
178	283	1301
179	284	1297
180	285	1292
181	286	1288
182	287	1284
183	288	1280
184	289	1276
185	290	1271
186	291	1267
187	292	1262
188	293	1258
189	294	1254
190	295	1250
191	296	1245
192	297	1242
193	298	1239
194	299	1234
195	300	1230
196	300	1226
197	301	1222
198	302	1218
199	303	1214
200	304	1210
201	305	1206
202	306	1202
203	307	1199
204	308	1194
205	308	1190
206	309	1186
207	310	1182
208	311	1179
209	312	1176
210	313	1173
211	314	1170
212	315	1167
213	316	1163
214	317	1159
215	318	1155
216	319	1152
217	320	1148
218	320	1144
219	321	1141
220	322	1137
221	323	1133
222	324	1130
223	325	1126
224	326	1122
225	327	1120
226	328	1118
227	329	1115
228	330	1111
229	330	1107
230	331	1104
231	332	1101
232	333	1098
233	334	1095
234	335	1091
235	336	1089
236	337	1085
237	337	1081
238	338	1078
239	339	1075
240	340	1072
241	341	1070
242	342	1068
243	344	1066
244	345	1063
245	346	1060
246	347	1057
247	347	1054
248	348	1051
249	349	1048
250	350	1045
251	351	1043
252	352	1040
253	353	1037
254	354	1034
255	354	1031
256	355	1028
257	356	1026
258	357	1023
259	358	1020
260	359	1017
261	360	1014
262	361	1011
263	361	1008
264	362	1006
265	363	1003
266	364	1000
267	365	997
268	366	994
269	366	992
270	367	989
271	368	986
272	369	984
273	370	981
274	371	979
275	372	976
276	373	974
277	374	971
278	375	969
279	375	966
280	376	963
281	377	961
282	378	958
283	379	956
284	380	953
285	380	951
286	381	948
287	383	947
288	384	945
289	385	943
290	386	941
291	387	939
292	388	937
293	389	935
294	390	932
295	391	930
296	392	928
297	393	926
298	394	924
299	395	922
300	395	919
301	397	918
302	398	916
303	399	913
304	400	911
305	401	910
306	402	907
307	403	905
308	404	903
309	405	901
310	406	899
311	406	897
312	407	895
313	408	892
314	409	890
315	410	887
316	411	885
317	411	883
318	412	881
319	413	879
320	414	877
321	415	875
322	416	873
323	417	871
324	418	869
325	419	867
326	420	865
327	421	863
328	422	860
329	423	858
330	423	856
331	424	854
332	426	853
333	427	852
334	428	850
335	429	848
336	430	847
337	431	846
338	433	844
339	434	843
340	435	842
341	436	840
342	437	838
343	438	836
344	439	835
345	440	833
346	441	830
347	442	828
348	443	826
349	444	824
350	445	823
351	446	821
352	447	820
353	448	817
354	449	815
355	449	813
356	450	812
357	451	810
358	452	808
359	453	806
360	454	805
361	455	803
362	456	801
363	457	799
364	458	798
365	460	796
366	461	795
367	462	793
368	463	792
369	464	790
370	465	789
371	466	787
372	467	785
373	468	784
374	469	782
375	471	782
376	472	780
377	473	779
378	475	779
379	477	778
380	478	777
381	479	775
382	480	774
383	481	772
384	482	771
385	484	769
386	485	768
387	486	766
388	487	765
389	488	764
390	489	762
391	490	761
392	492	760
393	493	758
394	494	757
395	495	755
396	496	753
397	497	752
398	498	750
399	499	749
400	500	747
401	501	746
402	502	744
403	503	743
404	504	741
405	506	740
406	507	739
407	508	737
408	509	736
409	510	734
410	511	732
411	512	731
412	513	729
413	514	728
414	515	726
415	516	725
416	517	723
417	518	722
418	519	720
419	520	719
420	521	717
421	522	715
422	523	714
423	524	712
424	525	710
425	526	709
426	527	707
427	528	705
428	528	704
429	529	702
430	531	701
431	531	699
432	533	698
433	534	696
434	535	695
435	536	693
436	537	692
437	538	690
438	539	689
439	540	688
440	541	686
441	542	685
442	543	683
443	544	682
444	545	680
445	546	678
446	547	677
447	548	675
448	549	674
449	550	672
450	551	671
451	552	669
452	553	667
453	554	666
454	555	665
455	556	663
456	557	661
457	557	660
458	558	658
459	559	656
460	560	655
461	561	653
462	562	651
463	563	650
464	564	649
465	565	647
466	566	646
467	567	644
468	567	643
469	568	641
470	569	639
471	570	637
472	571	636
473	571	634
474	572	632
475	573	631
476	574	629
477	575	628
478	576	626
479	577	625
480	578	623
481	579	622
482	579	620
483	580	619
484	581	617
485	582	616
486	583	614
487	584	612
488	584	611
489	585	609
490	586	608
491	587	606
492	588	605
493	589	603
494	589	601
495	590	600
496	591	598
497	592	597
498	593	595
499	594	594
500	595	592
501	596	591
502	597	589
503	597	588
504	598	586
505	599	585
506	600	583
507	601	582
508	601	580
509	602	579
510	603	577
511	604	576
512	605	574
513	606	573
514	607	572
515	609	571
516	610	569
517	611	568
518	612	567
519	613	565
520	613	564
521	614	562
522	615	561
523	616	559
524	617	558
525	618	557
526	619	555
527	620	554
528	621	553
529	622	551
530	623	550
531	624	549
532	625	547
533	626	546
534	627	545
535	627	543
536	628	542
537	629	540
538	630	539
539	631	537
540	632	536
541	632	534
542	633	533
543	634	531
544	635	530
545	636	529
546	637	527
547	638	526
548	639	525
549	640	524
550	641	522
551	642	521
552	643	519
553	643	518
554	644	516
555	645	515
556	646	514
557	647	513
558	648	511
559	649	510
560	650	508
561	651	507
562	652	506
563	653	504
564	653	503
565	655	502
566	656	500
567	656	499
568	657	498
569	658	496
570	659	495
571	661	494
572	662	493
573	663	492
574	664	490
575	664	489
576	665	488
577	666	486
578	667	485
579	668	484
